Name,Property,Amplitude Dashboard,Amplitude Dashboard (1),Analysis Date,Bayes Outcome Report,Config Code,Don't Reshuffle 5%,Early Stopping Criteria,Exp Off: date/build,Experiment Type,Final Step,Hypothesis,Hypothesis Correct?,NHST Outcome Report,Overlappers,Owner,Platform,Power Analysis,Related to New Users Work (Property),Related to Onboarders Work (Experiment Card),Related to Trial2020 (Property),Run Dates,Screenshots,Stage,Stakeholders,Test Dates,Treatment Description,Version Number,uuid
iOS: Smart My Day Actions,Yes,https://analytics.amplitude.com/loseit/dashboard/zukup7v,NA,"July 16, 2020",NA,in comments,Yes,NA,7/20/2020,"Engagement, UI Changes",Smart Actions V1 are turned on to all iOS users,We hypothesize that adding smart actions will increase food & weight logs as well as retention of new users.,No,"Experiment%201f19a/ios_smartmydayac_2020_07_16.pdf, Experiment%201f19a/ios_smartmydayacNEW_2020_07_16.pdf, Experiment%201f19a/ios_smart_day_bayes.pdf, Experiment%201f19a/ios_smart_action_new_users_bayes.pdf",https://www.notion.so/iOS-My-Day-Nutrients-Button-d0014320cd364abfab57e96eaf6ea0b2,Emma MacDonald,iOS,NA,NA,NA,NA,"June 24, 2020 → July 7, 2020",NA,Complete-2020,"Steve Massaroni, Patrick Rills, Diandra Zaki","May 29, 2020 → June 24, 2020","Users in the treatment group will experience the Smart My Day Actions section at the top of their My Day screen. Each user will see the following actions: Log Breakfast, Log Lunch, Log Dinner, Log Weight, Mark Day Complete and 1 article",12.3.700,4035e82a-f9f6-44c9-8d76-4f2b861329a8
Android Tutorial Take 2,Yes,https://analytics.amplitude.com/loseit/dashboard/57xn2bx,NA,"July 23, 2020",NA,AndOnbTut3(7114.kbrz67tk)-andtut2 // AndOnbTut3(7114.kbrz67tk)-_default,No,NA,Bumped treatment up to 100% on 7/23,"New User, Onboarding",Tutorial on for everyone.,I expect this to increase bookings & engagement,No,"Experiment%201f19a/Android_Tutorial_Take_2.pdf, Experiment%201f19a/android_tutorial_take2_new_users_bayes.pdf","https://www.notion.so/Android-Remove-Longboarding-Trait-Summary-Page-f12db61804874261aeeb8bf6ad969ecd, https://www.notion.so/Accidental-Copy-Unkillable-Trial-on-Android-03347323869246cb960e80f4f3509668",Sarah Molhan,Android,NA,NA,https://www.notion.so/Android-Tutorial-Take-2-899a1324a1804f41af6c9864670e909a,NA,"June 24, 2020 → July 14, 2020",Experiment%201f19a/Screenshot_20200522-090405.png,Complete-2020,"Alex Wilson, Emma MacDonald, Diandra Zaki","June 4, 2020 → June 7, 2020","Treatment: Gets tutorial
Control: Gets orange screen",12.3.800,c3275e1f-701f-4ba1-9e61-d23326140f6a
"iOS: Remove ""Other Sign In Options"" for New User Accounts",Yes,https://analytics.amplitude.com/loseit/dashboard/inf4sia,NA,"July 23, 2020",NA,iOSFBCreate(7107.kbi4471k)-fbcreate // iOSFBCreate(7107.kbi4471k)-_default,No,NA,7/28 off,Onboarding,"We are removing ""sign up with facebook"" on iOS (keeping it as a login option for now). The new onboarding flow we are building will not include this option.",I expect there to be no detectable impact,Yes,Experiment%201f19a/iOS_Remove_Other_Sign_In_Options.pdf,NA,Sarah Molhan,iOS,NA,NA,https://www.notion.so/Test-Removing-FB-Sign-in-on-iOS-Android-a8967f82e2f24a5e91cdc879d32ee5e6,NA,"June 24, 2020 → July 14, 2020",Experiment%201f19a/IMG_6EAB4A9D9A99-1.jpeg,Complete-2020,"Paul Heayn, Alex Wilson, Seung Kim","June 11, 2020 → June 23, 2020","Treatment: The Create Account page does not have the ""Other Sign In Options"" button — users cannot create accounts with Facebook; only with email & sign in with apple.

Control: ""Other Sign In Options"" button remains

Note: users going through the login flow will still be able to log in with Facebook.",12.3.600 5% // 12.3.800 50%,4916fc22-cf02-4ca9-ae05-d619c1c52539
iOS Outcome-Focused Trial Test,Yes,https://analytics.amplitude.com/loseit/dashboard/fk6l9tt,NA,"July 7, 2020",NA,iostrialtype2(7114.kbrz5vh4)-trial // iostrialtype2(7114.kbrz5vh4)-_default,No,NA,Reverted everyone to unkillable on 6/29.,"Onboarding, Trial",Back to unkillable!,Onboarding throughput and engagement will not change because we did not move the X and Yes buttons. Trial take rate might increase. There has to be a reason other apps use this outcome-focused view.,No,"Experiment%201f19a/iOS_Outcome_Focused_Trial.pdf, Experiment%201f19a/ios_outcome_focused_trial_test_bayes.pdf",https://www.notion.so/iOS-Remove-Longboarding-Trait-Summary-Page-2d7b803b809a485483e1274c132eceda,Sarah Molhan,iOS,NA,NA,https://www.notion.so/Test-New-iOS-Trial-Page-2d8dcd9d0d8e4121be109f17cbd12245,https://www.notion.so/Outcome-Focused-Trial-700f24467590460f8fc27c3e8b870726,"June 23, 2020 → June 29, 2020",Experiment%201f19a/iOS_Outcomes_Trial.png,Complete-2020,"Paul Apollo, Katie Bourdon, Erin Webster-Shaller, Seung Kim","June 17, 2020 → June 22, 2020","Treatment: Outcome-Focused trial page
Control: Unkillable Trial Page",12.3.700,62eaba90-d0ad-4ea6-97d3-2e3926ddaffe
iOS: Personalize Mark Day Complete,No,https://analytics.amplitude.com/loseit/dashboard/b5gytcs,NA,"July 16, 2020",NA,iOS-mdc-v2(7107.kbi42),No,NA,NA,"Engagement, New User",Turn the experiment off and iterate on the 3 day streak intervention (weigh-in),Providing a gifting mechanism will improve day 1 retention,NA,Experiment%201f19a/ios_personmydaycompNEW_2020_07_16.pdf,https://www.notion.so/Lifetime-3-Day-Streak-Reward-Testing-87bf98273db3415da5844b65ca19bc4f,Paul Heayn,Android,NA,NA,NA,NA,"June 16, 2020 → July 7, 2020",Experiment%201f19a/Simulator_Screen_Shot_-_iPhone_8_-_2020-05-22_at_15.54.36.png,Complete-2020,"Paul Apollo, Patrick Rills, Seung Kim",NA,"During the first 7 days, a user will receive insights based on users like them. On the first day of the streak, they will receive a goal projection insight, after that, they will randomly receive one of the following insights: https://docs.google.com/spreadsheets/d/1LpyR5bw6eooOIBeWcTH8-Mhqiyaav4Z-5_Zp-WkomEQ/edit?usp=sharing

Additionally, the treatment group will see new MDC background images for the first 7 days.

On a 8 day streak or higher, the user will see the older MDC experience with the streak caterpillar and the goal projection.",12.3.600,e3a62248-d40b-4ae2-83fa-0f7983b7f0aa
iOS App Man,No,https://analytics.amplitude.com/loseit/dashboard/58tr58y,NA,"July 1, 2020",NA,"""ios-appman-promos"":{""experiments"":[{""name"":""native"",""weight"":50,""value"":""true""}],""value"":""false"",""revision"":""7099.kb6sx81s""}",Yes,NA,NA,"IAM, Reactivation","Turn Appman on for 100% of new users; stop Braze message leakage in treatment group and re-run against Braze; build Appman for Android for the 9 day sale, non-sale and reactivation sale","Braze reliability has always been questionable. If we build a native solution, we can guarantee reliability and at least keep conversion the same, if not improve it.",Yes,"Experiment%201f19a/ios_appmanNEW_2020_06_28.pdf, Experiment%201f19a/ios_appman_2020_06_28.pdf, Experiment%201f19a/ios_appman_new_users.pdf, Experiment%201f19a/ios_appman_bayes.pdf",NA,Paul Heayn,iOS,NA,NA,NA,NA,"June 8, 2020 → June 28, 2020",NA,Complete-2020,"Erin Webster-Shaller, Katie Bourdon, Patrick Wetherille, Eric Puidokas, Patrick Rills, Seung Kim","May 5, 2020 → June 3, 2020","Onboarding Sale
Shown immediately after a user completes onboarding without accepting trial (immediately after the tutorial is completed or dismissed or upon next display of the log or launch of the app after the tutorial has been completed).

Periodic Non-Sale
Shown every other day of logging when no sale is running (whenever there is no active promo code).

Periodic Sale
Shown every 9 days of food logging when no other sale is running

Reactivation Sale
Shown after the user has returned after not logging a food for more than 28 days

* Randomly select 50% of users (new and existing) to participate in the native promotional treatment
* The test is controlled by a traditional configuration experiment. We can easily enable or disable the test remotely.
* The test will only apply to english language versions of the iOS products
* This experiment applies to all users - users enrolled will stop receiving Braze messages and begin getting App Man messages.
* The onboarding sale will only apply to new users since it is an onboarding sale.
* Existing users with a running sale will continue that sale. When the sale is complete, they will begin receiving non sale messages.
* Existing users with no sale running will receive non sale messages
* The Periodic sale will start as soon as its criteria are satisfied (non sale message has been shown, 9 days of foods logged). For some users the periodic sale may be offered immediately.

* If a free user enrolled in this experiment, they will not receive any Braze in-app messages. All in-app messaging targeting free users is implemented by App Man.
* Existing push and email campaigns will still be delivered from Braze. Any Braze campaigns that depend upon a specific in-app message being shown will not be delivered to users in this experiment since it is discarding all in-app messages from Braze.
* Messages that target premium users (e.g. lifetime) will still be delivered.
* No change to existing campaigns are required- the behavior will be managed entirely by App Man.
* The promotions respect the client behavior of the countdown timer including showing the countdown timer and not showing promotional pop ups while the timer is visible.",12.2.700,74f6b423-fac4-4ad3-b925-e2e9d97fcb50
iOS: Remove Longboarding Trait Summary Page,Yes,https://analytics.amplitude.com/loseit/dashboard/0hbul0x,NA,"June 29, 2020",NA,"iOSHideSumm(7099.kb6mxzlc)-hideSumm
iOSHideSumm(7099.kb6mxzlc)-_default",No,NA,Turned experiment off on 7/1 before SurveyGurl onboarding test started.,Onboarding,"The trait summary page is off, and is not included in our plans as we migrate towards a SurveyGurl based onboarding.",I think the trait summary page is a good summary step to put users in a better mind to see the trial page. I expect removing it to have a small negative impact on bookings and engagement.,No,Experiment%201f19a/IOS_remove_Longboarding_Trait_Summary_Page.pdf,NA,Sarah Molhan,iOS,NA,NA,https://www.notion.so/Skip-Longboarding-Trait-Summary-Page-Experiment-f78aa98459cf4208ad00bac6525aba9e,NA,"June 8, 2020 → June 20, 2020",Experiment%201f19a/Screen_Shot_2020-05-22_at_11.38.55_AM.png,Complete-2020,"Alex Wilson, Emma MacDonald, Paul Heayn, Diandra Zaki","June 4, 2020 → June 7, 2020","Treatment: Skip trait summary page; go right from final lonboarding question to trial page
Control: See trait summary page between longboarding & trial page.",12.3.500,1df9e640-df18-4919-ad17-e2a6cbdb649d
Android: Remove Longboarding Trait Summary Page,Yes,https://analytics.amplitude.com/loseit/dashboard/lioy8vp,NA,"June 29, 2020",NA,"AndHideSumm(7099.kb6mxrvk)-hidesum
AndHideSumm(7099.kb6mxrvk)-_default",No,NA,Turned off 7/6,Onboarding,Remove this from longboarding; do not include this page in SurveyGurl onboarding plans.,I think the trait summary page is a good summary step to put users in a better mind to see the trial page. I expect removing it to have a small negative impact on bookings and engagement.,No,Experiment%201f19a/Android_Remove_Longboarding_Trait_Summary_Page.pdf,https://www.notion.so/Accidental-Copy-Unkillable-Trial-on-Android-03347323869246cb960e80f4f3509668,Sarah Molhan,Android,NA,NA,https://www.notion.so/Skip-Longboarding-Trait-Summary-Page-Experiment-f78aa98459cf4208ad00bac6525aba9e,NA,"June 8, 2020 → June 20, 2020",Experiment%201f19a/Screen_Shot_2020-05-22_at_11.04.07_AM.png,Complete-2020,"Alex Wilson, Emma MacDonald, Paul Heayn, Diandra Zaki","June 4, 2020 → June 7, 2020","Treatment: Skip trait summary page; go right from final lonboarding question to trial page
Control: See trait summary page between longboarding & trial page.",12.3.500,b61bfb27-bab3-4883-a5c5-2165a95da7d6
Android World Wide Trials,Yes,https://analytics.amplitude.com/loseit/dashboard/e6on2fl,NA,"July 23, 2020",NA,"AndIntlTrial(7092.kawids54)-intl
AndIntlTrial(7092.kawids54)-_default",No,NA,trials up to 100% on 8/6/2020,"Onboarding, Trial",Turning trials on for everyone world WIDE.,I expect bookings to increase and onboarding throughput to drop,Yes,"Experiment%201f19a/Android_World_Wide_Trials.pdf, Experiment%201f19a/android_ww_trials_bayes.pdf",NA,Sarah Molhan,Android,NA,NA,https://www.notion.so/World-Wide-Trials-3d26b7e972ec41daac941fcc78d31865,NA,"June 8, 2020 → July 14, 2020",Experiment%201f19a/device-2020-05-20-143058.png,Complete-2020,"Mia Forte, Seung Kim","May 28, 2020 → June 3, 2020","Treatment: Offered a trial during onboarding (using unkillable page)
Control: Not offered a trial during onboarding",12.3.500,b79f9a8f-0d28-46b6-bac0-0bd731bc02fa
"Android: Remove ""Sign Up with Facebook"" for new accounts",Yes,https://analytics.amplitude.com/loseit/dashboard/z4h16ii,NA,"July 7, 2020",NA,"AndFBDisabled(7079.kae64xwg)-fb-disabled
AndFBDisabled(7079.kae64xwg)-_default",No,NA,Will be off for 12.4.300.,Onboarding,"For now, we're removing FB sign up on Android with the 12.4.300 release, but doing so in a way that we can turn it back on if we want to after the iOS results are in.",I expect there to be no detectable impact,No,"Experiment%201f19a/Android_No_FB_Sign_In.pdf, Experiment%201f19a/android_no_fb_signin_new_users_bayes.pdf, Experiment%201f19a/android_no_fb_signin_bayes.pdf",NA,Sarah Molhan,iOS,NA,NA,https://www.notion.so/Test-Removing-FB-Sign-in-on-iOS-Android-a8967f82e2f24a5e91cdc879d32ee5e6,NA,"June 8, 2020 → June 28, 2020",Experiment%201f19a/Treatment.png,Complete-2020,"Paul Heayn, Alex Wilson, Seung Kim, Emma MacDonald","May 14, 2020 → May 18, 2020","Treatment: The Create Account page does not have the ""SIGN IN WITH FACEBOOK"" button — users cannot create accounts with Facebook; only with email

Control: ""SIGN IN WITH FACEBOOK"" button remains

Note: users going through the login flow will still be able to log in with Facebook.","12.3.200—incorrectly configured
12.3.500— bundled with release",d42ae9e1-048e-46d3-a156-e8ea7a714d20
iOS World Wide Trials,Yes,https://analytics.amplitude.com/loseit/dashboard/2ftio8i,NA,"July 23, 2020",NA,"iOSIntlTrial2(7095.kb14qdnc)-intl
iOSIntlTrial2(7095.kb14qdnc)-_default",No,NA,8/6/2020 — trials on for everyone,"Onboarding, Trial","Turning trials on for everyone, world wide.",I expect bookings to increase and onboarding throughput & engagement to drop,Yes,"Experiment%201f19a/iOS_World_Wide_Trials.pdf, Experiment%201f19a/ios_ww_trials_bayes.pdf",NA,Sarah Molhan,iOS,NA,NA,https://www.notion.so/World-Wide-Trials-3d26b7e972ec41daac941fcc78d31865,NA,"June 4, 2020 → July 14, 2020",Experiment%201f19a/Simulator_Screen_Shot_-_iPhone_8_-_2020-05-21_at_14.22.03.png,Complete-2020,"Mia Forte, Seung Kim","May 28, 2020 → June 3, 2020","Treatment: Offered a trial during onboarding (using unkillable page)
Control: Not offered a trial during onboarding",12.3.500; NOT controlled with release (exp configuration fixed in 12.3.500),77873215-5f72-4a24-a8f5-be22b311dc43
"Accidental Copy ""Unkillable"" Trial on Android",No,https://analytics.amplitude.com/loseit/dashboard/s5iibmv,NA,"June 29, 2020",NA,"AndTrialComp(7092.kawljc3s)-unkill
AndTrialComp(7092.kawljc3s)-_default",No,NA,experiment turned off 6/24,"Onboarding, Trial","What is the immediate action being taken when you move the card to ""Complete""?",The unkillable trial page will increase bookings without hurting onboarding throuhgput.,No,"Experiment%201f19a/Android_Unkillable_Trial_Accidental_Copy_(1).pdf, Experiment%201f19a/Android_Unkillable_Trial_Accidental_Copy_(Late_Run).pdf",https://www.notion.so/Android-Remove-Longboarding-Trait-Summary-Page-f12db61804874261aeeb8bf6ad969ecd,Sarah Molhan,Android,NA,NA,https://www.notion.so/Android-Unkillable-Trial-Page-Experiment-cd1ba5868bed43e1be3b0775bf86439f,NA,"June 1, 2020 → June 20, 2020",Experiment%201f19a/Screen_Shot_2020-06-23_at_3.58.26_PM.png,Complete-2020,"Paul Apollo, Alex Wilson, Seung Kim, Katie Bourdon","May 27, 2020 → May 31, 2020",Treatment will have a different trial page than the control. See screenshots below.,NA,7f1cb1cf-ecc8-4087-9c63-324d1cbf0467
iOS My Day Nutrients Button,No,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,NA,NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,NA,NA,"Engagement, New User, Premium","What is the immediate action being taken when you move the card to ""Complete""?","Conversion should remain the same, but engagement should improve slightly",NA,Experiment%201f19a/ios_mydaynut_2020_06_22.pdf,NA,Paul Heayn,iOS,NA,NA,NA,NA,"May 25, 2020 → June 22, 2020",NA,Complete-2020,"Steve Massaroni, Patrick Rills, Nick Sal","May 29, 2020 → June 1, 2020","We want to get out of this experiment state and will go with the dots treatment, where we saw a 0.5% decrease in engagement or with the nutrients button. The experiment will be designed so the dots experience will become the control and the experience with a Nutrients button will be the control.",12.3.300,8192695c-0eb8-451a-aa58-b34c9c84f1c6
Android: Popular Posts from Groups for New Users,Yes,https://analytics.amplitude.com/loseit/dashboard/wh6bn04,NA,"June 18, 2020",NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",Yes,NA,NA,"Engagement, New User, UI Changes","What is the immediate action being taken when you move the card to ""Complete""?","We hypothesize that the new groups experience will result in increased app sessions, social tab sessions, and increased time spent on the social tab, leading to increased social support and an increase in engagement with Lose It! overall.",Yes,"Experiment%201f19a/and_popposts_2020_06_18.pdf, Experiment%201f19a/android_popular_posts.pdf",NA,Emma MacDonald,Android,NA,NA,NA,NA,"May 19, 2020 → June 8, 2020","Experiment%201f19a/Screenshot_20200506-155327_Lose_It!.jpg, Experiment%201f19a/Screenshot_20200506-155350_Lose_It!.jpg, Experiment%201f19a/Screenshot_20200506-155335_Lose_It!.jpg, Experiment%201f19a/Screenshot_20200506-155342_Lose_It!.jpg",Complete-2020,"Frank Egan, Nick Sal","May 15, 2020 → May 18, 2020","Treatment will default the social tab to the 'Groups' tab, which displays a feed of popular posts from the groups, an improved group search experience, as well as the ability to view a feed of posts from your groups.",12.3.102,ce0326d9-186a-4621-b397-dc0731fbcf0a
Referral Program NonSale Test,No,NA,NA,NA,NA,Configurable via Braze,No,NA,NA,"IAM, Premium",NA,"We've seen high conversion rates in the referral program but haven't seen the volume we'd like to see. To increase volume, we want to test adding a referral program IAM as a variant in the nonsale EBM with the hypothesis being that we'll get more volume (with similar conversion rates to current referral pilot) while not damaging user metrics/conversion rates",NA,NA,NA,"Danielle Goryl, Phil Weltman","Android, Iterable, iOS",NA,NA,NA,NA,"May 15, 2020 → May 26, 2020",NA,Complete-2020,Mike King,"May 14, 2020 → May 21, 2020","Treatment:  Layering in referral program IAM variant 

Control: Current nonsale variants",N/A,c6c16489-0521-421d-96d5-470c1ba49dd2
iOS: Popular Posts from Groups for New Users,Yes,https://analytics.amplitude.com/loseit/dashboard/08pcjyc,NA,"June 18, 2020",NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",Yes,NA,8/31/2020,"Engagement, New User, UI Changes","What is the immediate action being taken when you move the card to ""Complete""?","We hypothesize that the new groups experience will result in increased app sessions, social tab sessions, and increased time spent on the social tab, leading to increased social support and an increase in engagement with Lose It! overall.",Yes,"Experiment%201f19a/ios_popposts_2020_06_18.pdf, Experiment%201f19a/ios_popular_posts.pdf",NA,Emma MacDonald,iOS,NA,NA,NA,NA,"May 12, 2020 → June 8, 2020","Experiment%201f19a/IMG_0057.png, Experiment%201f19a/IMG_0060.png, Experiment%201f19a/IMG_0058.png, Experiment%201f19a/IMG_0059.png",Complete-2020,"Eric Woods, Nick Sal","May 8, 2020 → May 11, 2020","Treatment will default the social tab to the 'Groups' tab, which displays a feed of popular posts from the groups, an improved group search experience, as well as the ability to view a feed of posts from your groups.",12.3.100,0bfa1c62-1792-483a-97c9-3c4508c4e44b
Remove First Search Experience on iOS,Yes,https://analytics.amplitude.com/loseit/dashboard/ew8qu9q,NA,"June 8, 2020",NA,"iOSShowOnlySearchFirstTime(7072.ka3zgyts)-searchpage
iOSShowOnlySearchFirstTime(7072.ka3zgyts)-_default",No,NA,off 6/9/2020,Onboarding,The first search experience is off; we're ripping out the code.,"I expect there to be no detectable difference, but we need to confirm that before closing this bug.",Yes,Experiment%201f19a/iOS_Remove_First_Search_Experience.pdf,NA,Sarah Molhan,iOS,NA,NA,https://www.notion.so/Remove-iOS-First-Search-Experience-Experiment-0e70d7564dbc44b28b474ceee2b911e5,NA,"May 12, 2020 → May 31, 2020","Experiment%201f19a/IMG_0326.png, Experiment%201f19a/IMG_0325.png",Complete-2020,"Nick Sal, Alex Wilson","May 6, 2020 → May 11, 2020","Treatment: Tutorial + no first search experience
Control: Tutorial + first search experience (orange screen & tab-less search until a food is logged)

https://github.com/loseit/issues/issues/3736

When we first tested the tutorial on iOS, users who skipped the tutorial saw a first search experience when they later went to launch food search. This search experience showed the orange screen on breakfast, and a tab-less, FAB-less search for non-breakfast meals. 

We filed this as a bug, thinking that the tutorial and first search experience should not co-exist, but went on to realize that perhaps keeping the first search experience impacted the results from the tutorial experiment.",Experiment is not new; has been in all recent versions — but just use 12.2.800 as min version.,a8aa7d27-1985-439d-9c6c-eab49e356e94
Android Meal Actions,No,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,NA,NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,NA,NA,"Engagement, Logging",We turned this on since there is no effect on engagement or revenue but it makes the user experience better and allows for more functionality to fit on the log screen.,Removing the camera shortcut and improving discoverability of the meal actions will increase user engagement for new and existing users. Although we might only see novelty effects.,NA,"Experiment%201f19a/and_mealac_2020_06_16.pdf, Experiment%201f19a/and_mealac_NEW_2020_06_16.pdf",NA,Paul Heayn,Android,NA,NA,NA,NA,"May 8, 2020 → June 3, 2020",Experiment%201f19a/image_(47).png,Complete-2020,"Pete Wierzsomething, Emma MacDonald","April 23, 2020 → April 27, 2020","All users in the treatment will see an ellipse button in place of the camera button on the log. The user will have the following items available:

Scan Barcode,Nutrition, or Food
Edit Meal Settings
View Meal Summary
Clear Meal Entries
Add Meal to Recipes",12.2.700,c97f0327-70aa-44d9-a90e-d2988ba96c18
iOS: Profile Stats,No,https://analytics.amplitude.com/loseit/dashboard/iq9f64e,NA,"June 2, 2020",NA,"iOSMeTabUsageStats"":{""experiments"":[{""name"":""meStats"",""weight"":50,""value"":1}],""value"":0,""revision"":""7065.k9ty2qrs""}",No,NA,NA,UI Changes,"What is the immediate action being taken when you move the card to ""Complete""?","By adding stats to the profile stats section, we should see no negative impacts to engagement and conversion.  If anything, we should see increases in views to the Me page, and increases in engagement as measured by the displayed stats (i.e. foods logged, recipes created, etc.)",Yes,Experiment%201f19a/iOS_Profile_Stats_Results.pdf,NA,Taylor Smyrnos,iOS,NA,NA,NA,NA,"May 5, 2020 → May 25, 2020","Experiment%201f19a/IMG_7437.png, Experiment%201f19a/IMG_7436.png, Experiment%201f19a/IMG_7A898957F9CC-1.jpeg",Complete-2020,"Whitney Klinkner, Steve Massaroni, Diandra Zaki","April 9, 2020 → April 12, 2020","On the me tab, the user will be able to see: # foods logged, # weights recorded, date joined, # recipes created, most logged food, longest food logging streak.",12.2.800,599ae877-28fb-4000-8da0-715b01cb46b4
Android: Profile Stats,Yes,https://analytics.amplitude.com/loseit/dashboard/8stwg0z,NA,"June 2, 2020",NA,"""prostats"":{""experiments"":[{""name"":""prostats"",""weight"":50,""value"":1}],""value"":-1,""revision"":""7064.k9sqauio""}",No,NA,"Turning off with release of 12.4.3, ~7/16",UI Changes,Experiment will be turned off and reverted to control experience once user updates app to 12.4.3,"By adding stats to the profile stats section, we should see no negative impacts to engagement and conversion.  If anything, we should see increases in views to the Me page, and increases in engagement as measured by the displayed stats (i.e. foods logged, recipes created, etc.)",Yes,Experiment%201f19a/Android_Profile_Stats_Results.pdf,NA,Taylor Smyrnos,Android,NA,NA,NA,NA,"May 4, 2020 → May 24, 2020","Experiment%201f19a/Screenshot_1587655067.png, Experiment%201f19a/Screenshot_1587651808.png, Experiment%201f19a/Screenshot_1587651800.png",Complete-2020,"Whitney Klinkner, Marissa Allen, Diandra Zaki","April 30, 2020 → May 4, 2020","On the me tab, the user will be able to see: # foods logged, # weights recorded, date joined, # recipes created, most logged food, longest food logging streak.",12.2.800,8f24f85d-622a-43cf-a37d-838047b72424
Challenges Intro Test,Yes,None,NA,"May 14, 2020",NA,None,No,NA,NA,"Cross Promotion, Engagement",End of camapigns.,Directing Lose It! Users With Apple watches to challenges will improve their engagement in Lose It!,No,"Experiment%201f19a/Experiment-Script-AB_(2).pdf, Experiment%201f19a/challenges-intro_(1).pdf",NA,Paul Apollo,"Android, Iterable, iOS",NA,NA,NA,NA,"April 30, 2020 → May 11, 2020",NA,Complete-2020,"Kevin McCoy, Erin Webster-Shaller, Amanda Messier, Mike King","April 30, 2020 → May 13, 2020",An IAM and email imploring Lose It! users with apple watches to download and join challenges.,None; braze test,8d4429e3-5e87-497c-a22b-f10bff41416f
iOS: Daily Goals Promo on Edit Food,No,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,NA,NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,NA,NA,"Logging, Premium, Simplification, UI Changes",We will revert the experiment back to control regardless of the outcome. The results will be used to inform us of how prominent this feature needs to be in a re-design of the edit food screen.,"Only 1.29% of free users on iOS who click on the goals promo on edit food upgraded within 24 hours in the last 30 days. Of that 1.29%, over 40% took 10 minutes to convert. My hypothesis is that users who convert from this promo would have convert anyway. https://analytics.amplitude.com/loseit/chart/new/6760653",NA,"Experiment%201f19a/ios_dailygoals_2020_06_09.pdf, Experiment%201f19a/ios_dailygoalsNEONLY_2020_06_09.pdf, Experiment%201f19a/ios_daily_goals_new_users.pdf, Experiment%201f19a/ios_daily_goals.pdf",NA,Patrick Rills,iOS,NA,NA,NA,NA,"April 30, 2020 → June 2, 2020","Experiment%201f19a/Simulator_Screen_Shot_-_iPhone_11_Pro_Max_-_2020-04-27_at_14.05.52.png, Experiment%201f19a/Simulator_Screen_Shot_-_iPhone_11_Pro_Max_-_2020-04-27_at_14.07.01.png",Complete-2020,NA,"April 27, 2020 → April 30, 2020",Free users in the treatment will not see the goals promo in Edit Food and those in control will continue to see it. All premium users will continue to see the goals rings on the food.,12.2.700,43d832e7-f948-4406-bb0b-44ea436d7aad
iOS Meal Actions,No,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,"May 29, 2020",NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,NA,NA,"Engagement, Logging",iOS meal actions is turned on for 100% of users,Removing the camera shortcut and improving discoverability of the meal actions will increase user engagement for new and existing users. Although we might only see novelty effects.,NA,"Experiment%201f19a/ios_meal_actions.pdf, Experiment%201f19a/ios_meal_actions_new_bayes.pdf, Experiment%201f19a/ios_mealaction_2020_05_29.pdf, Experiment%201f19a/ios_mealactionNEW_2020_05_29.pdf",NA,Paul Heayn,iOS,NA,NA,NA,NA,"April 27, 2020 → May 20, 2020",Experiment%201f19a/Simulator_Screen_Shot_-_iPhone_11_Pro_-_2020-04-17_at_10.46.17.png,Complete-2020,"Steve Massaroni, Patrick Rills","April 23, 2020 → April 27, 2020","All users in the treatment will see an ellipse button in place of the camera button on the log. The user will have the following items available:

Scan Barcode,Nutrition, or Food
Add a Meal Photo
Edit Meal Settings
View Meal Summary
Share Using AirDrop
Add Meal to Recipes
Clear Meal Entries",12.2.700,e501cd22-9b0c-41cb-ba4e-b33fc408d786
iOS Purchase Button with Weight Watcher Text,No,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,"May 19, 2020",NA,"""iOSUpgradeTextV3"":{""experiments"":[{""name"":""big"",""weight"":50,""value"":true}],""value"":false,""revision"":""7052.k9bjtha0""}",No,NA,NA,Premium,This is on for 100% of iOS users,"By dynamically changing the purchase button to account for sales, we will see a conversion increase",NA,"Experiment%201f19a/ios_ww_2020_05_19_bayes.pdf, Experiment%201f19a/ios_ww_2020_05_19NEW_bayes.pdf, Experiment%201f19a/ios_ww_2020_05_19NEW.pdf, Experiment%201f19a/ios_ww_2020_05_19.pdf",NA,Paul Heayn,iOS,NA,NA,NA,NA,"April 22, 2020 → May 18, 2020",NA,Complete-2020,NA,"April 15, 2020 → April 22, 2020",The treatment will see a different cta during a sale that shows “save  x%” and does have the weight watcher comparison text.,12.2.600,4d1542a0-7fb0-4d1e-bcdf-a4c7ebfc34ff
